text,label,label_text,word_count
Will my card be here soon?,12,card_delivery_estimate,6
How can I use my American Express to add money into my account?,54,supported_cards_and_currencies,13
Why is there a fee on my money transfer?,64,transfer_fee_charged,9
Which ATMs accept Mastercard?,3,atm_support,4
Who do I call to activate my new card?,0,activate_my_card,9
I have a payment in my statement that is off,16,card_payment_not_recognised,10
"How long does EU transfer take? I bought something online a couple days ago , sent the money immediately online but the seller says it is still not there yet",48,pending_transfer,30
Please let me know how to place an order for a virtual card,40,getting_virtual_card,13
How many cards am I allowed?,39,getting_spare_card,6
How quickly can you get me my card?,12,card_delivery_estimate,8
What do I do if my phone was stolen?,42,lost_or_stolen_phone,9
I cannot see the card PIN anywhere?,38,get_physical_card,7
I have a direct debit I didn't make,28,direct_debit_payment_not_recognised,8
How do I set up an account for my children?,1,age_limit,10
are there any country restrictions?,24,country_support,5
How long does a transfer from the UK account usually take? After completing the transfer it is not showing up. I need to know that everything I actually went okay.,5,balance_not_updated_after_bank_transfer,30
"Hello,  In my most recent ATM transaction, I didn't receive nearly as much cash as I thought I would - what is your exchange rate policy?",76,wrong_exchange_rate_for_cash_withdrawal,26
How do I check security settings on my card?,14,card_not_working,9
What are the steps I should take to recover my swallowed card?,18,card_swallowed,12
"Hi, I am facing issue with my card payment while shopping online as payment is getting reverted. I am struggling with this issue around two weeks. Please advise.",53,reverted_card_payment?,28
Why is the cash not showing in my account for the check I deposited?,6,balance_not_updated_after_cheque_or_cash_deposit,14
My transfer didn't complete. Why can't I access funds?,35,failed_transfer,9
There are automatic debits on my account that I did not make.,28,direct_debit_payment_not_recognised,12
How many disposable cards per person?,29,disposable_card_limits,6
How long does it take for cards to be delivered after ordering them?,12,card_delivery_estimate,13
How can I cancel my transfer?,8,cancel_transfer,6
What do I do if my smart phone was stolen?,42,lost_or_stolen_phone,10
Why was my card declined in a shop?,25,declined_card_payment,8
Will I be charged for receiving money?,56,top_up_by_bank_transfer_charge,7
How long will this take to get to me?,12,card_delivery_estimate,9
Can i get money in my home currency at my ATM ?I am on holiday and bit concerned because i do not have any cash with me .Is it possible to withdraw without any additional cost.,76,wrong_exchange_rate_for_cash_withdrawal,36
Why is the transfer still pending?  Can I do something?,48,pending_transfer,10
"The transfer keeps rejected, I tried to transfer some money to friends but it keeps getting rejected for some reason, Would you please check the issue?",35,failed_transfer,26
When will the money reach my  account?,67,transfer_timing,7
How much is it to receive money?,56,top_up_by_bank_transfer_charge,7
Please let me know how to change my PIN?,21,change_pin,9
Problem verifying my account,68,unable_to_verify_identity,4
I need to know what foreign exchange rate I can get.,32,exchange_rate,11
"I want a Mastercard, instead.",73,visa_or_mastercard,5
"I was transferring some money to a friend, which I thought would be free, but I see there is a charge.  What's up with that?",64,transfer_fee_charged,25
How can I go about resetting my passcode?,44,passcode_forgotten,8
details need to be modified,30,edit_personal_details,5
Is the identity check part of bank policy?,74,why_verify_identity,8
What should I do if I think there are unauthorized transactions?,22,compromised_card,11
Why would a cash withdrawal be pending?,46,pending_cash_withdrawal,7
I would like to know how exchange rates are calculated when transferring funds.,32,exchange_rate,13
How can I dispute a direct debit transaction?,28,direct_debit_payment_not_recognised,8
I want to revert a transaction I did,8,cancel_transfer,8
Why isn't my deposit in my account?,6,balance_not_updated_after_cheque_or_cash_deposit,7
What was the extra charge for using my card?,15,card_payment_fee_charged,9
Are there downsides to using a disposable virtual cards?,29,disposable_card_limits,9
Can I have more than one card?,39,getting_spare_card,7
I was removing a dollar amount from my account and now don't have access to my card.,18,card_swallowed,17
My cash deposit from a week ago is still not in my account. Can you help me please?,6,balance_not_updated_after_cheque_or_cash_deposit,18
"My phone was stolen, help!",42,lost_or_stolen_phone,5
Can I get spare cards?,39,getting_spare_card,5
What is the reason why the transfer shows as pending?,48,pending_transfer,10
I made a cash deposit and the balance wasn't updated.,6,balance_not_updated_after_cheque_or_cash_deposit,10
How do I change to a different currency?,33,exchange_via_app,8
"The ATM would not give me cash,why?",26,declined_cash_withdrawal,7
Can I get an account for my son?,1,age_limit,8
I am not satisfied with your company.  Close my account.,55,terminate_account,10
The payment for the card did not go through,25,declined_card_payment,9
Tell me why my card payment has been declined.,25,declined_card_payment,9
Why am I being charged certain fees? I noticed a fee after I withdrew some money for groceries earlier today.,19,cash_withdrawal_charge,20
The app is showing a cash withdrawal that I didn't make.,20,cash_withdrawal_not_recognised,11
i noticed that the funds were returned to my bank account. What happened?,61,top_up_reverted,13
When will my payment go through?,45,pending_card_payment,6
"I sent some money to somebody a couple of hours ago, and they still have yet to receive it.  They really need the money, how much longer are they going to have to wait?",66,transfer_not_received_by_recipient,34
Can you send me the actual card?,43,order_physical_card,7
Do I need to add my salary?,50,receiving_money,7
"Um, my top up didn't work",59,top_up_failed,6
The fee charged when I changed rubles into British pounds was too much.,17,card_payment_wrong_exchange_rate,13
My statement does not reflect that a refund has been issued,51,Refund_not_showing_up,11
Who can purchase a disposable virtual card?,37,get_disposable_virtual_card,7
Is it possible to do auto top up?,4,automatic_top_up,8
What do you use to figure out the exchange rate for the card?,32,exchange_rate,13
How old do my kids need to be to open an account?,1,age_limit,12
What is this direct debit in my statement?,28,direct_debit_payment_not_recognised,8
why do i have to verify top up?,71,verify_top_up,8
In the app I see a direct debit that I don't recognize.,28,direct_debit_payment_not_recognised,12
How's the exchange rate?,32,exchange_rate,4
"I want to start using my card, how do I activate it?",0,activate_my_card,12
Transferring money using credit card,62,topping_up_by_card,5
what is the leadtime for a new card to show up in the mail?,12,card_delivery_estimate,14
Is there anyway to bypass identity verification?,74,why_verify_identity,7
Why are all my card payments being declined?,25,declined_card_payment,8
Why can I not choose the card i want?,73,visa_or_mastercard,9
Why won't my virtual card work?,72,virtual_card_not_working,6
Can I have a third card?,39,getting_spare_card,6
There is a payment that I made that hasn't gone through yet.,45,pending_card_payment,12
How to order a virtual card,40,getting_virtual_card,6
What kind of security protects my money?,70,verify_source_of_funds,7
How do I go about getting a refund?,52,request_refund,8
"I am overseas in China, can I get a replacement card?",9,card_about_to_expire,11
"Hi, I'm trying to purchase a flat and I'm needing the first payment for the mortgage to go through on the flat I'm trying to buy. For some reason I keep getting an error.can you assist in making this transfer? What is going on?",35,failed_transfer,44
When I add money to my international card do you charge a fee to do so?,57,top_up_by_card_charge,16
How far is the closest ATM from me?,3,atm_support,8
Someone might be using my card.  What should I do?,22,compromised_card,10
The cash withdrawal I took seems to be off. The exchange rate is wrong.,76,wrong_exchange_rate_for_cash_withdrawal,14
Does it cost anything and how long would it take to get a card if I need a new one? My card is about to expire.,9,card_about_to_expire,26
There is payment showing that I didn't do.,16,card_payment_not_recognised,8
Where are cards available to order?,43,order_physical_card,6
How do I activate a card?,0,activate_my_card,6
why was i charged a small amount,34,extra_charge_on_statement,7
My identity has been stolen. I still have my physical card but there are charges I didn't make on my account. How do I cancel this card or dispute the charges?,20,cash_withdrawal_not_recognised,31
I am travelling and I was wondering what your exchange rates are,32,exchange_rate,12
How can I top up my account and which currency can I use?,54,supported_cards_and_currencies,13
"I just want to top-up, why do I need to verify anything?",71,verify_top_up,12
"If my phone was stolen, do I need to do anything?",42,lost_or_stolen_phone,11
I have one other credit card from the US. Do you take it?,54,supported_cards_and_currencies,13
Can you tell me the countries you operate in?,24,country_support,9
What are the reasons for my beneficiary not being allowed?,7,beneficiary_not_allowed,10
Can you tell me which cards and currencies are supported?,54,supported_cards_and_currencies,10
Please sort your top up! My top up has been pending for an hour already. Can you please make it go through as soon as possible. I really need the money.,47,pending_top_up,31
Why does it show that my transfer is still pending?,48,pending_transfer,10
Can I write a cheque to top up?,58,top_up_by_cash_or_cheque,8
Please check my payment from last Saturday as I feel I have been overcharged on the exchange rate.  Thank you.,17,card_payment_wrong_exchange_rate,20
"I got my American Express in Apple Pay, why is top up not working in my country?",2,apple_pay_or_google_pay,17
Could I get a mastercard if that's reasonable?,73,visa_or_mastercard,8
When will I have access to my pin number?,38,get_physical_card,9
I need help making this transfer. I keep getting an error. I'm trying to purchase a flat but i need my mortgage payment to go through first. Can you help?,35,failed_transfer,30
"I've tried to send money to my friends and I keep getting rejected. Can you please tell me why, I don't understand.",35,failed_transfer,22
Why hasn't my transaction completed?,66,transfer_not_received_by_recipient,5
How much does it cost to us US cards?,57,top_up_by_card_charge,9
A card payment on my account is shown as pending.,45,pending_card_payment,10
I lost my phone! Will my card still work?,42,lost_or_stolen_phone,9
How come there is a $1 extra charge on my statement?,34,extra_charge_on_statement,11
I tried to do a transfer and it's saying it declined.,27,declined_transfer,11
is there a reason i need to verify top up,71,verify_top_up,10
What do you require for identification verification?,69,verify_my_identity,7
how many transactions can go on a disposable card?,29,disposable_card_limits,9
I made a payment that seems to be stuck. It's been a couple of days already. Can you tell me how long it will take?,45,pending_card_payment,25
"I thought I knew my password but I guess I was wrong, what can I do now?",44,passcode_forgotten,17
Can I cancel a transaction?,8,cancel_transfer,5
What should I do if I have used all of my PIN tries?,49,pin_blocked,13
I have a pending transaction,48,pending_transfer,5
"After reviewing my charges, I see I was charged a fee for a transfer I did, why?",64,transfer_fee_charged,17
Can you explain why I was charged extra when I used the card?,15,card_payment_fee_charged,13
In what increments can I top-up my card?,4,automatic_top_up,8
"I topped up recently and saw the money go through, but now it's just gone? What's going on",61,top_up_reverted,18
Can you help me reset my passcode? I forgot it.,44,passcode_forgotten,10
Am I able to do a SWIFT transfer with you?,56,top_up_by_bank_transfer_charge,10
"Hi, I used an ATM today to take money out of my account, but the amount it gave me is not the amount I requested. What should I do?",75,wrong_amount_of_cash_received,29
What happens when I am charged twice?,63,transaction_charged_twice,7
I paid with my card and I was charged a fee,15,card_payment_fee_charged,11
Is there a way to order a new card while in China?,9,card_about_to_expire,12
Is it possible for me to top up with cash?,58,top_up_by_cash_or_cheque,10
For what reason did my top-up get cancelled?,61,top_up_reverted,8
Where can I change my PIN?,21,change_pin,6
"I tried to withdraw $100, all it gave me was $20.",75,wrong_amount_of_cash_received,11
I'd like to make some changes to my personal information.,30,edit_personal_details,10
I'd like to order an additional card,39,getting_spare_card,7
The top-up I ordered didn't process.,59,top_up_failed,6
How do I get my card to work?,14,card_not_working,8
What is the first step that I should take after my card has been stolen?,41,lost_or_stolen_card,15
How long does it take for my id to verify?,68,unable_to_verify_identity,10
How do I go about ordering another card?,39,getting_spare_card,8
I think my card has been compromised in some way.,22,compromised_card,10
Can I change my PIN without going to a bank?,21,change_pin,10
How does the exchange rate work on this app?,32,exchange_rate,9
"I got a new card, how do I link it?",13,card_linking,10
"Do any of your machines provide cash from my home country? I don't have any money on me and I'm on holiday so I'm concerned. Also, will I be charged anything to do this?",76,wrong_exchange_rate_for_cash_withdrawal,34
Tell me why there is a fee for a card payment.,15,card_payment_fee_charged,11
I've been trying to make a transfer and it doesn't seem to be working. (5 times) What is wrong with your system?,35,failed_transfer,22
"I was using foreign currency at an ATM, but the rate was typed in wrong.",76,wrong_exchange_rate_for_cash_withdrawal,15
"I tried to use my debit card, but the payment did not work.",53,reverted_card_payment?,13
"My new card has arrived, what's the activation procedure?",0,activate_my_card,9
Please explain the charge of 1L in error.  I have purchased nothing in this amount.,34,extra_charge_on_statement,15
I thought I was going to receive more currency?,76,wrong_exchange_rate_for_cash_withdrawal,9
I think my card payment has been refunded,53,reverted_card_payment?,8
How do I go about topping up with Google Pay?,2,apple_pay_or_google_pay,10
Why is there a fee for doing a transfer?,64,transfer_fee_charged,9
Why was I charged an extra fee when using an ATM?,19,cash_withdrawal_charge,11
I'm not sure why my card didn't work,25,declined_card_payment,8
When shipped to the US how long is delivery time?,12,card_delivery_estimate,10
Will there be a fee if I receive a SEPA transfer,56,top_up_by_bank_transfer_charge,11
I'm interested in learning more about disposable virtual cards.,37,get_disposable_virtual_card,9
Why hasn't my transaction arrived?,66,transfer_not_received_by_recipient,5
How long will my top-up be pending?,47,pending_top_up,7
"I did a cash deposit to my account, but I am not seeing it on my statement.",6,balance_not_updated_after_cheque_or_cash_deposit,17
Is it possible to get a disposable virtual card as well?,37,get_disposable_virtual_card,11
"Please help me in this, as i was unable to make any payment by my new card,  it was getting declined repeatedly. I am not very happy with this incident.",25,declined_card_payment,30
Do you have a return policy?,52,request_refund,6
What's the time frame normally for a UK account transfer? I just made one and it's not showing up anywhere. I want to be sure that everything is good.,5,balance_not_updated_after_bank_transfer,29
Is payment required to get a card of my own?,43,order_physical_card,10
What credit cards do you carry,73,visa_or_mastercard,6
I'd like to order another card,39,getting_spare_card,6
Why was I charged a fee for my card payment?,15,card_payment_fee_charged,10
How long does it take to activate my card?,0,activate_my_card,9
The app reverted after I topped-up,61,top_up_reverted,6
"Help, the ATM didn't give me all the money I requested",75,wrong_amount_of_cash_received,11
I need to deposit money to my account,65,transfer_into_account,8
